VANID,External ID,External ID Type ,handle
100660297,http://www.twitter.com/louieperegrino,Twitter Handle,louieperegrino
100666637,http://www.twitter.com/rhalexander,Twitter Handle,rhalexander
100671084,http://www.twitter.com/carlyolson,Twitter Handle,carlyolson
100673876,http://www.twitter.com/joniscool,Twitter Handle,joniscool
100675564,http://www.twitter.com/aleenabyrne,Twitter Handle,aleenabyrne
100676673,http://www.twitter.com/alkchen,Twitter Handle,alkchen
100679856,http://www.twitter.com/kiddxstarr,Twitter Handle,kiddxstarr
100682849,http://www.twitter.com/aprilarcus,Twitter Handle,aprilarcus
100687202,http://www.twitter.com/mharnett,Twitter Handle,mharnett
100689256,http://www.twitter.com/dmitryda,Twitter Handle,dmitryda
100689583,http://www.twitter.com/iandanforth,Twitter Handle,iandanforth
100692845,http://www.twitter.com/paul_franz,Twitter Handle,paul_franz
100693143,http://www.twitter.com/retiredsyd,Twitter Handle,retiredsyd
100693155,http://www.twitter.com/agileproductmgr,Twitter Handle,agileproductmgr
100693156,http://www.twitter.com/normtraveltech,Twitter Handle,normtraveltech
100693711,http://www.twitter.com/earino,Twitter Handle,earino
100695549,http://www.twitter.com/axvolz,Twitter Handle,axvolz
100696548,http://www.twitter.com/csanchezaustin,Twitter Handle,csanchezaustin
100700810,http://www.twitter.com/thiagosindra,Twitter Handle,thiagosindra
100701007,http://www.twitter.com/mark_c_kelley,Twitter Handle,mark_c_kelley
100701794,http://www.twitter.com/bkkissel,Twitter Handle,bkkissel
100703095,http://www.twitter.com/randyshoup,Twitter Handle,randyshoup
100703971,http://www.twitter.com/stephengillett,Twitter Handle,stephengillett
100704363,http://www.twitter.com/normanliang,Twitter Handle,normanliang
100704639,http://www.twitter.com/cjianginny,Twitter Handle,cjianginny
100706281,http://www.twitter.com/tommyyu22,Twitter Handle,tommyyu22
100706598,http://www.twitter.com/xuanli0919,Twitter Handle,xuanli0919
100708612,http://www.twitter.com/aliua6,Twitter Handle,aliua6
